IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.178.146,443,443,true,HKG,Asia Pacific,Hong Kong,99,15.89
52.76.201.0,443,443,true,SIN,Asia Pacific,Singapore,143,14.79
35.241.88.58,443,443,true,HKG,Asia Pacific,Hong Kong,110,14.48
4.255.56.137,443,443,true,IAD,North America,Ashburn,313,14.20
8.20.125.1,443,443,true,SFO,North America,San Francisco,226,13.83
172.207.125.150,443,443,true,NRT,Asia Pacific,Tokyo,158,12.41
104.168.28.65,443,443,true,SJC,North America,San Jose,246,9.49
69.46.7.74,443,443,true,TPA,North America,Tampa,337,8.35
217.79.183.50,443,443,true,FRA,Europe,Frankfurt,257,8.10
103.182.97.12,443,443,true,SJC,North America,San Jose,207,7.71
141.105.70.114,443,443,true,FRA,Europe,Frankfurt,139,7.27
47.236.164.215,443,443,true,SIN,Asia Pacific,Singapore,323,7.02
8.20.125.2,443,443,true,SFO,North America,San Francisco,242,6.34
34.154.195.87,443,443,true,FRA,Europe,Frankfurt,272,6.26
185.233.203.228,443,443,true,AMS,Europe,Amsterdam,189,6.09
141.147.86.191,443,443,true,FRA,Europe,Frankfurt,306,5.76
144.21.42.103,443,443,true,FRA,Europe,Frankfurt,333,5.46
3.135.41.11,443,443,true,ORD,North America,Chicago,287,5.37
34.141.80.63,443,443,true,FRA,Europe,Frankfurt,298,5.10
16.162.118.190,443,443,true,NRT,Asia Pacific,Tokyo,144,4.75
185.53.46.76,443,443,true,FRA,Europe,Frankfurt,324,4.65
20.39.191.103,443,443,true,ICN,Asia Pacific,Seoul,207,4.60
104.40.244.228,443,443,true,AMS,Europe,Amsterdam,360,4.57
152.70.236.106,443,443,true,SIN,Asia Pacific,Singapore,308,4.35
192.237.192.175,443,443,true,DFW,North America,Dallas,265,4.21
91.149.239.62,443,443,true,LAX,North America,Los Angeles,242,4.17
155.248.202.141,443,443,true,SJC,North America,San Jose,213,4.08
46.8.31.201,443,443,true,ALA,Asia Pacific,Almaty,355,4.02
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,109,4.02
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,101,4.01
13.57.182.91,443,443,true,SJC,North America,San Jose,238,3.82
5.133.8.249,443,443,true,FRA,Europe,Frankfurt,257,3.77
193.176.28.28,443,443,true,LHR,Europe,London,227,3.76
23.94.122.46,443,443,true,SJC,North America,San Jose,195,3.58
34.118.31.28,443,443,true,FRA,Europe,Frankfurt,285,3.54
23.94.214.169,443,443,true,SJC,North America,San Jose,196,3.46
107.173.83.252,443,443,true,SJC,North America,San Jose,247,3.43
139.162.208.170,443,443,true,LHR,Europe,London,281,3.00
20.79.165.148,443,443,true,FRA,Europe,Frankfurt,367,2.80
172.96.184.34,443,443,true,LAX,North America,Los Angeles,201,2.58
91.230.213.70,443,443,true,KWI,Middle East,Kuwait City,378,2.47
185.114.77.159,443,443,true,SJC,North America,San Jose,210,2.27
217.196.103.247,443,443,true,AMS,Europe,Amsterdam,245,2.22
159.138.131.240,443,443,true,HKG,Asia Pacific,Hong Kong,91,2.15
45.124.54.242,443,443,true,MEL,Oceania,Melbourne,366,1.90
104.166.125.210,443,443,true,LAX,North America,Los Angeles,248,1.85
91.149.239.238,443,443,true,LAX,North America,Los Angeles,387,1.76
8.210.9.129,443,443,true,HKG,Asia Pacific,Hong Kong,147,1.72
91.149.239.122,443,443,true,LAX,North America,Los Angeles,288,1.49
34.159.144.41,443,443,true,FRA,Europe,Frankfurt,279,1.42
91.149.239.72,443,443,true,LAX,North America,Los Angeles,272,1.40
132.226.132.226,443,443,true,FRA,Europe,Frankfurt,299,1.22
141.144.201.183,443,443,true,FRA,Europe,Frankfurt,329,1.18
64.110.88.46,443,443,true,ICN,Asia Pacific,Seoul,112,1.17
84.8.144.192,443,443,true,FRA,Europe,Frankfurt,299,1.07
146.70.175.174,443,443,true,AMS,Europe,Amsterdam,226,1.07
35.246.131.158,443,443,true,FRA,Europe,Frankfurt,280,1.06
