IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.9.129,2053,2053,true,HKG,Asia Pacific,Hong Kong,126,25.48
8.210.9.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,134,24.50
47.238.6.102,2082,2082,false,HKG,Asia Pacific,Hong Kong,149,22.52
47.76.159.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,140,20.47
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,127,17.77
47.238.6.102,2083,2083,true,HKG,Asia Pacific,Hong Kong,128,16.08
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,104,15.70
47.242.36.78,2052,2052,false,HKG,Asia Pacific,Hong Kong,128,15.58
47.242.171.94,2083,2083,true,HKG,Asia Pacific,Hong Kong,104,15.23
47.238.6.102,2052,2052,false,HKG,Asia Pacific,Hong Kong,110,14.45
34.80.235.175,2053,443,true,HKG,Asia Pacific,Hong Kong,149,13.25
8.218.65.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,134,13.16
47.76.159.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,136,12.97
8.218.188.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,12.82
8.217.239.116,2095,2095,false,HKG,Asia Pacific,Hong Kong,93,12.52
47.243.5.154,2083,2083,true,HKG,Asia Pacific,Hong Kong,109,12.31
8.218.201.73,2095,2095,false,HKG,Asia Pacific,Hong Kong,87,11.98
8.217.221.165,2082,2082,false,HKG,Asia Pacific,Hong Kong,134,11.15
8.217.251.62,80,80,false,HKG,Asia Pacific,Hong Kong,118,11.11
8.210.203.7,2053,2053,true,HKG,Asia Pacific,Hong Kong,103,11.09
8.217.221.165,2052,2052,false,HKG,Asia Pacific,Hong Kong,94,10.97
8.218.65.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,111,10.92
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,135,10.74
47.242.36.78,2095,2095,false,HKG,Asia Pacific,Hong Kong,90,10.71
8.217.221.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,128,10.57
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,99,10.42
47.242.36.78,8443,8443,true,HKG,Asia Pacific,Hong Kong,153,10.33
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,117,10.06
8.218.65.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,90,10.06
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,108,9.90
8.217.149.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,117,9.76
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,130,9.57
8.218.65.237,80,80,false,HKG,Asia Pacific,Hong Kong,151,9.30
58.153.173.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,148,9.24
47.238.6.102,8080,8080,false,HKG,Asia Pacific,Hong Kong,130,9.01
47.243.5.154,8443,8443,true,HKG,Asia Pacific,Hong Kong,88,8.84
8.210.9.129,80,80,false,HKG,Asia Pacific,Hong Kong,120,8.27
8.218.201.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,91,8.11
47.76.178.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,84,8.02
8.217.159.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,110,7.94
47.76.178.146,443,443,true,HKG,Asia Pacific,Hong Kong,139,7.73
8.210.203.7,8443,8443,true,HKG,Asia Pacific,Hong Kong,127,7.72
8.210.203.7,2086,2086,false,HKG,Asia Pacific,Hong Kong,117,7.40
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,149,7.25
8.210.107.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,118,7.22
47.242.171.94,80,80,false,HKG,Asia Pacific,Hong Kong,110,6.74
8.218.188.129,80,80,false,HKG,Asia Pacific,Hong Kong,99,6.72
47.76.77.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,116,6.63
8.210.203.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,128,6.54
47.242.171.94,2096,2096,true,HKG,Asia Pacific,Hong Kong,149,5.55
