IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.198.92,3,3,0.00,203.83,103.56
104.18.221.150,3,3,0.00,203.39,97.47
104.21.2.80,3,3,0.00,196.24,83.84
104.19.22.8,3,3,0.00,203.22,78.17
104.16.36.117,3,3,0.00,195.76,76.96
104.17.198.22,3,3,0.00,203.45,76.69
104.16.237.118,3,3,0.00,193.00,76.10
172.64.131.247,3,3,0.00,201.58,75.69
172.64.108.127,3,3,0.00,203.49,75.42
104.16.168.162,3,3,0.00,203.18,67.46
104.16.254.154,3,3,0.00,203.76,67.33
104.16.53.152,3,3,0.00,203.80,63.24
104.16.96.139,3,3,0.00,198.73,62.80
104.21.9.46,3,3,0.00,203.35,54.45
172.67.190.154,3,3,0.00,203.35,53.52
172.67.161.184,3,3,0.00,201.67,49.50
172.67.216.138,3,3,0.00,203.48,38.20
172.67.203.130,3,3,0.00,203.35,33.99
172.67.209.62,3,3,0.00,203.65,31.62
172.67.136.213,3,3,0.00,194.57,19.82
